Sentence,Sentiment
typic the transmiss power level can be decreas when the interfer nois is abov a predefin valu,neutral
finnish busi softwar group affectogenimap oyj said it net profit halv to mln euro mln in the first nine month of from mln euro mln in the same period of,negative
term of the acquisit were not disclos,neutral
walter invest manag corp receiv a sell from compass point wac,negative
the compani slip to an oper loss of eur million from a profit of eur million,negative
rio tinto swing to loss drop dividend polici,negative
sanoma news advertis sale decreas by dure the year,negative
rival compani gwr and watco eye ra w take-ov interest,positive
costco a premier retail dividend play cost,positive
upm stock fell percent to euro in earli afternoon trade in helsinki,negative
a total of job will be reduc at the raah steel work,negative
citigroup to sell onemain to springleaf for billion,positive
ea point to the two facebook game and accus znga of copyright infring,negative
profit for the period fell to eur mn from eur mn in january-septemb,negative
bobe down premarket,negative
the divest of raisio s margarin busi in may gave the compani a clearer focus on grain-bas product,positive
oper profit befor non-recur item was eur mn in the first nine month of compar to eur in the correspond period in,neutral
the custom is cooper retail osuuskauppa suur-savo,neutral
two other site will be includ later on,neutral
the compani has an annual turnov of eur m,neutral
i see a percent upsid in fb share from here,positive
the plan ethanol and energi product plant can oper in correl with a wast treatment unit or a paper mill,neutral
aapl short term fundredempt liquid should have the channel clear soon and on solid foot is new floor come july!,negative
oper profit exclud non-recur item total eur mn down from eur mn in the correspond period in,negative
the mill has long tradit and hold an establish posit in the market,positive
suprem court uphold million juri award against exxonmobil,negative
in q of the compani s oper loss total eur mn compar to a profit of eur mn in q of,negative
hk ruokatalo now account for about of poultri sale in finland and profit is at a good level,positive
fasten miss by miss on revenu fast nyse,negative
googl hit with lawsuit from russian search engin yndx,negative
miner meltdown as bhp to rio tinto sink in commod rout,negative
accord to finnish pension insur compani varma varma was the recipi of over two third of the revenu of the earnings-rel pension cover that was under competit tender in finland,positive
relat link flexiblebaseloadoper thewartsilagener set gasconvers this is the shorter of two version of this press releas,neutral
the carrier said it area travel agenc is to sell most of it outlet to sister chain suomen matkatoimisto smtand use it remain bricks-and-mortar presenc to primarili target busi custom go forward,neutral
honkarakenn s custom in this project is one of the biggest real estat compani in kazakhstan accord to the compani,neutral
it a bad idea to make min predict base on faith rt dandyduct aapl sell signal hit at it will go down for the next min,negative
in the first nine month of the compani s net loss narrow to eur from eur m for the correspond period of,positive
finnish insur compani fennia and kesko group are end their loyal custom cooper,negative
finnish aluminium product manufactur nordic aluminium plc omx helsinki noav report on monday august an oper profit of eur m on net sale of eur m for the period january-jun,neutral
furthermor sale of new passeng car and light commerci vehicl in the countri declin by year-on-year last month,neutral
infect worri prompt regulatori review of gilead leukaemia drug gild via yahoofin,negative
over the year the color orang has becom synonym with qualiti,neutral
finnish cutleri and hand tool maker fiskar oyj abp hel fisa said today it net profit rose to eur million usd m in the third quarter of from eur million a year earlier,positive
last year the firm also acquir realprojekti oy a real estat develop compani to advis capman on it properti activ,neutral
germanw disast will not affect imag of budget air travel - easyjet,neutral
product at the plant will be base on nest oil s proprietari technolog that can use a flexibl input of ani veget oil or anim fat,neutral
finnish metal product compani componenta oyj hel cthv said today it net loss narrow to eur usd in the last quarter of from eur million for the same period a year earlier,positive
the sale of savcor face to cencorp will result in a profit or loss which can not yet be determin owe to factor includ the valuat of the consider share to be receiv and prevail exchang rate,neutral
oper result for the -month period decreas from the profit of eur m while turnov decreas from eur m as compar to,negative
efut hod post buy pm at,positive
the group s revenu in amount to eur million and the compani current employ approxim peopl,neutral
we make avail the follow brand-new market analys cement - pakistan cement - malaysia cement - taiwan cement - philippin these analys give a clear overview of the actual situat and futur outlook of the cement industri in some asian countri,neutral
finnish electron manufactur servic compani elcoteq sign a cooper agreement with a japanes mobil phone manufactur bypass elcoteq tallinn say jan kotka ceo of elcoteq tallinn,positive
westend ict plc s new share and increas of share capit with eur base on the resolut of extraordinari sharehold meet on decemb have today regist in the trade regist,neutral
oper profit was eur - mn down from eur mn,neutral
the plant will be fire with a combin of spruce bark chip log residu or mill peat,neutral
mn and pretax profit to eur mn from eur mn in the third quarter of,positive
aapl at pivot area on intraday chart- break here could send this to -day sma,positive
accord to atria s presid and ceo matti tikkakoski the compani s swedish oper signific improv in the first quarter,positive
in the baltic countri sale fell by and in russia by in term of euro and by in term of local currenc,negative
