,Sentence,Sentiment
0,The GeoSolutions technology will leverage Benefon s GPS solutions by providing Location Based Search Technology a Communities Platform location relevant multimedia content and a new and powerful commercial model,positive
1,ESI on lows down to BK a real possibility,negative
2,For the last quarter of Componenta s net sales doubled to EURm from EURm for the same period a year earlier while it moved to a zero pre-tax profit from a pre-tax loss of EURm,positive
3,According to the Finnish-Russian Chamber of Commerce all the major construction companies of Finland are operating in Russia,neutral
4,The Swedish buyout firm has sold its remaining percent stake almost eighteen months after taking the company public in Finland,neutral
5,SPY wouldnt be surprised to see a green close,positive
6,Shells Billion BG Deal Meets Shareholder Skepticism,negative
7,SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER AT PM The Company updates its full year outlook and estimates its results to remain at loss for the full year,negative
8,Kone s net sales rose by some year-on-year in the first nine months of,positive
9,The Stockmann department store will have a total floor space of over square metres and Stockmann s investment in the project will have a price tag of about EUR million,neutral
10,Circulation revenue has increased by in Finland and in Sweden in,positive
11,SAP Q disappoints as software licenses down Real problem Cloud growth trails MSFT ORCL GOOG CRM ADBE,negative
12,The subdivision made sales revenues last year of EUR million EUR million in and operating profits of EUR million EUR million,positive
13,Viking Line has canceled some services,neutral
14,Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT at A total of new shares of Ahlstrom Corporation have been subscribed with option rights under the company s stock option programs I and II,neutral
15,FB gone green on day,positive
16,MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over,positive
17,According to Lñnnen Tehtaat s CEO Matti Karppinen the company aims to deliver fish products to its customers a day earlier than it currently does,neutral
18,The company s share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj RTRKS,neutral
19,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd,neutral
20,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer,neutral
21,Aviva Friends Life top forecasts ahead of billion pound merger,positive
22,In stead of being based on a soft drink as is usual the Teho energy drink is made with fresh water,neutral
23,The company plans to increase the unit s specialist staff to several dozen -- depending on the market situation during,neutral
24,The company closed last year with a turnover of about four million euros,neutral
25,Shire CEO steps up drive to get Baxalta board talking,positive
26,Costco A Premier Retail Dividend Play COST,positive
27,The five-storey eco-efficient building will have a gross floor area of about sq m It will also include apartments,neutral
28,The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden whose personal artistic journey and work at Fiskars has led to dozens of design awards,neutral
29,All are welcome,neutral
30,Stockmann and Swedish sector company AB Lindex entered into an agreement on September whereby Stockmann or a wholly-owned subsidiary of it will make a public tender offer for all of Lindex s issued shares,positive
31,HUHTAMAKI OYJ STOCK EXCHANGE RELEASE AT Huhtamaki s Capital Markets Day for institutional investors and analysts is held in Espoo September starting at pm Finnish time,neutral
