,Sentence,Sentiment
0,the geosolut technolog will leverag benefon s gps solut by provid locat base search technolog a communiti platform locat relev multimedia content and a new and power commerci model,positive
1,esi on low down to bk a real possibl,negative
2,for the last quarter of componenta s net sale doubl to eurm from eurm for the same period a year earlier while it move to a zero pre-tax profit from a pre-tax loss of eurm,positive
3,accord to the finnish-russian chamber of commerc all the major construct compani of finland are oper in russia,neutral
4,the swedish buyout firm has sold it remain percent stake almost eighteen month after take the compani public in finland,neutral
5,spi wouldnt be surpris to see a green close,positive
6,shell billion bg deal meet sharehold skeptic,negative
7,ssh communic secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,negative
8,kone s net sale rose by some year-on-year in the first nine month of,positive
9,the stockmann depart store will have a total floor space of over squar metr and stockmann s invest in the project will have a price tag of about eur million,neutral
10,circul revenu has increas by in finland and in sweden in,positive
11,sap q disappoint as softwar licens down real problem cloud growth trail msft orcl goog crm adb,negative
12,the subdivis made sale revenu last year of eur million eur million in and oper profit of eur million eur million,positive
13,vike line has cancel some servic,neutral
14,ahlstrom corpor stock exchang announc at a total of new share of ahlstrom corpor have been subscrib with option right under the compani s stock option program i and ii,neutral
15,fb gone green on day,positive
16,msft sql server revenu grew double-digit with sql server premium revenu grow over,positive
17,accord to lñnnen tehtaat s ceo matti karppinen the compani aim to deliv fish product to it custom a day earlier than it current doe,neutral
18,the compani s share is quot on nasdaq omx helsinki rautaruukki oyj rtrks,neutral
19,elcoteq se is list on the nasdaq omx helsinki ltd,neutral
20,two of these contract are for turntabl anod vibrocompactor that will be deliv to gansu hualu aluminum co ltd and anoth unnam costum,neutral
21,aviva friend life top forecast ahead of billion pound merger,positive
22,in stead of be base on a soft drink as is usual the teho energi drink is made with fresh water,neutral
23,the compani plan to increas the unit s specialist staff to sever dozen -- depend on the market situat dure,neutral
24,the compani close last year with a turnov of about four million euro,neutral
25,shire ceo step up drive to get baxalta board talk,positive
26,costco a premier retail dividend play cost,positive
27,the five-storey eco-effici build will have a gross floor area of about sq m it will also includ apart,neutral
28,the first instal of the cinema seri conclud with a profil of finnish inventor olavi linden whose person artist journey and work at fiskar has led to dozen of design award,neutral
29,all are welcom,neutral
30,stockmann and swedish sector compani ab lindex enter into an agreement on septemb wherebi stockmann or a wholly-own subsidiari of it will make a public tender offer for all of lindex s issu share,positive
31,huhtamaki oyj stock exchang releas at huhtamaki s capit market day for institut investor and analyst is held in espoo septemb start at pm finnish time,neutral
32,we are pleas to welcom tapek noma into cramo group,positive
33,- profit befor tax was eur million,neutral
34,royal dutch shell to buy bg group for near billion,positive
35,financialwir tm is not a press releas servic and receiv no compens for it news opinion or distribut,neutral
36,assa abloy kaupth bank gave a neutral recommend and a share price target of crown - euro on swedish lock maker assa abloy ab,neutral
37,the item includ restructur cost of eur m while a year earlier they were eur m dilut ep stood at eur versus a loss per share of eur,positive
38,in the bank post a net profit of lt mn,neutral
39,aapl afternoon selloff as usual will be brutal get readi to lose a ton of money,negative
40,tsla recal pretti much everi singl model x cnnbrk got to short that even at work you jump in money trade,negative
41,dolc gabbana has ask the european union to declar marimekko corpor s unikko floral pattern trademark invalid in a continu disput between the two compani,negative
42,intercontinent hotel first-quart global room revenu lag estim,negative
43,accord to finnish pension insur compani varma varma was the recipi of over two third of the revenu of the earnings-rel pension cover that was under competit tender in finland,positive
44,a portion million will be record as part of it win in a prior patent disput with finnish phone maker nokia oyj,positive
45,lg still pay price for dividend cut dure crisi chief say,negative
46,the volum of invest in the two phase of the project is estim at usd mn eur mn,neutral
47,russia account for of the lagarder magazin divis s revenu or eur mn usd mn in the usa - for,neutral
48,the compani also estim the alreadi carri out invest to lead to an increas in it net sale for from when they reach eur million,positive
49,profit of the account period was eur mn,neutral
50,the six breweri record a percent growth in domest beer sale last year to million liter from million liter sold in,positive
51,in august-octob the compani s result befor tax total eur mn up from eur mn in the correspond period in,positive
52,systeemitiimi s sale and project resourc will also be strengthen director paul skogberg said,positive
53,tesco share price jump as q sale top estim,positive
54,the fine print is here,neutral
55,the price for log has clear improv from and also the price of pulpwood has gone up,positive
56,thus sysopen digia has in accord with chapter section of the finnish compani act - obtain titl to all the share of sentera that are to be redeem,neutral
57,dilut earn per share ep fell to eur from eur,neutral
58,at pm eastern time a block of contract chang hand at a bid price of,neutral
59,some of the most recent technolog deliveri includ refineri technolog to anrak aluminium an iron ore pellet plant to tata steel and iron ore sinter plant to bhushan steel,neutral
60,vip similar pattern like begin of may did u sell same nowwil go up much higher after this drop,positive
61,the firm generat sale of mln eur in,neutral
62,stora enso has also had meet with the labor author employ and econom develop centr and repres of the govern in order to find solut,neutral
63,astrazeneca profit down as sale of stalwart fade,negative
64,rt andrewnyquist chartolog yahoo yhoo crazi look chart but near breakout resist line,positive
65,most bullish stock on twitter dure this dip yhoo gdx googl stz gold ew vz celg sbux scti more,positive
66,finnish geosentr s net sale decreas to eur in january-march,negative
67,cohen steer inc share repres of the share capit and vote right,neutral
68,more staff has been recruit in japan to further complement it network of close to servic locat in more than countri worldwid,positive
69,paper compani were in negat territori with stora enso r shed pct to eur upm-kymmen down pct at eur and m-real b pct lower at eur,neutral
70,kauko-telko s central administr will be dissolv and appropri part of it will be transfer to oper activ and group administr by the end of the year,neutral
71,oper profit for the quarter april-jun amount to eur m on sale of eur bn,neutral
72,atria chose the delight to attract consum in the - age group to it atria fresh rang of microwav meal,neutral
73,finnish it solut provid affecto oyj hel afev said today it slip to a net loss of eur usd in the second quarter of from a profit of eur in the correspond period a year earlier,neutral
